id,source,type,value,date
349,S102,f,3,1958
350,S102,m,0,1958
351,S102,p,0,1958
352,S102,s,0,1958
353,S103,f,1,1958
354,S103,m,2,1958
355,S103,p,1,1958
356,S103,s,1,1958
357,S104,f,4,1958
358,S104,m,0,1958
359,S104,p,0,1958
360,S104,s,2,1958
361,S105,f,0,1959
362,S105,m,1,1959
363,S105,p,1,1959
364,S105,s,4,1959
365,S108,f,1,1963
366,S108,m,0,1963
367,S108,p,1,1963
368,S108,s,1,1963
369,S109,f,0,1963
370,S109,m,0,1963
371,S109,p,2,1963
372,S109,s,1,1963
373,S110,f,0,1963
374,S110,m,1,1963
375,S110,p,2,1963
376,S110,s,1,1963
377,S111,f,0,1963
378,S111,m,0,1963
379,S111,p,3,1963
380,S111,s,0,1963
381,S112,f,0,1963
382,S112,m,0,1963
383,S112,p,1,1963
384,S112,s,1,1963
385,S113,f,0,1963
386,S113,m,1,1963
387,S113,p,2,1963
388,S113,s,0,1963
389,S114,f,6,1963
390,S114,m,1,1963
391,S114,p,5,1963
392,S114,s,3,1963
393,S115,f,2,1963
394,S115,m,2,1963
395,S115,p,0,1963
396,S115,s,1,1963
397,S116,f,1,1963
398,S116,m,0,1963
399,S116,p,1,1963
400,S116,s,0,1963
401,S117,f,1,1963
402,S117,m,0,1963
403,S117,p,0,1963
404,S117,s,2,1963
405,S118,f,4,1964
406,S118,m,0,1964
407,S118,p,3,1964
408,S118,s,3,1964
409,S119,f,1,1964
410,S119,m,0,1964
411,S119,p,1,1964
412,S119,s,2,1964
413,S120,f,1,1964
414,S120,m,0,1964
415,S120,p,1,1964
416,S120,s,1,1964
417,S121,f,0,1964
418,S121,m,0,1964
419,S121,p,1,1964
420,S121,s,3,1964
421,S122,f,3,1965
422,S122,m,0,1965
423,S122,p,1,1965
424,S122,s,0,1965
425,S124,f,0,1965
426,S124,m,0,1965
427,S124,p,1,1965
428,S124,s,2,1965
429,S126,f,3,1965
430,S126,m,1,1965
431,S126,p,0,1965
432,S126,s,0,1965
433,S128,f,0,1965
434,S128,m,0,1965
435,S128,p,2,1965
436,S128,s,3,1965
437,S129,f,0,1965
438,S129,m,0,1965
439,S129,p,3,1965
440,S129,s,0,1965
441,S130,f,2,1965
442,S130,m,3,1965
443,S130,p,4,1965
444,S130,s,2,1965
445,S131,f,2,1965
446,S131,m,2,1965
447,S131,p,0,1965
448,S131,s,0,1965
449,S132,f,3,1965
450,S132,m,1,1965
451,S132,p,5,1965
452,S132,s,6,1965
453,S160,f,1,1975
454,S160,m,0,1975
455,S160,p,0,1975
456,S160,s,0,1975
457,S162,f,0,1975
458,S162,m,0,1975
459,S162,p,0,1975
460,S162,s,1,1975
461,S163,f,0,1975
462,S163,m,0,1975
463,S163,p,2,1975
464,S163,s,0,1975
465,S164,f,3,1975
466,S164,m,0,1975
467,S164,p,1,1975
468,S164,s,0,1975
469,S166,f,0,1976
470,S166,m,1,1976
471,S166,p,0,1976
472,S166,s,2,1976
473,S168,f,1,1976
474,S168,m,0,1976
475,S168,p,3,1976
476,S168,s,0,1976
477,S170,f,2,1977
478,S170,m,0,1977
479,S170,p,0,1977
480,S170,s,0,1977
481,S172,f,2,1977
482,S172,m,0,1977
483,S172,p,0,1977
484,S172,s,2,1977
485,S178,f,0,1980
486,S178,m,0,1980
487,S178,p,0,1980
488,S178,s,1,1980
489,S182,f,0,1981
490,S182,m,1,1981
491,S182,p,1,1981
492,S182,s,0,1981
493,S184,f,3,1982
494,S184,m,0,1982
495,S184,p,1,1982
496,S184,s,0,1982
497,S186,f,0,1982
498,S186,m,0,1982
499,S186,p,1,1982
500,S186,s,0,1982
501,S187,f,2,1982
502,S187,m,0,1982
503,S187,p,1,1982
504,S187,s,0,1982
505,S190,f,0,1983
506,S190,m,1,1983
507,S190,p,2,1983
508,S190,s,2,1983
509,S191,f,3,1983
510,S191,m,1,1983
511,S191,p,0,1983
512,S191,s,0,1983
513,S193,f,1,1983
514,S193,m,0,1983
515,S193,p,0,1983
516,S193,s,2,1983
517,S194,f,1,1983
518,S194,m,0,1983
519,S194,p,0,1983
520,S194,s,1,1983
521,S195,f,1,1983
522,S195,m,2,1983
523,S195,p,0,1983
524,S195,s,2,1983
525,S196,f,0,1983
526,S196,m,1,1983
527,S196,p,3,1983
528,S196,s,1,1983
529,S197,f,0,1983
530,S197,m,0,1983
531,S197,p,0,1983
532,S197,s,5,1983
533,S198,f,3,1983
534,S198,m,1,1983
535,S198,p,0,1983
536,S198,s,3,1983
537,S199,f,0,1983
538,S199,m,0,1983
539,S199,p,0,1983
540,S199,s,2,1983
541,S200,f,4,1983
542,S200,m,0,1983
543,S200,p,2,1983
544,S200,s,1,1983
