id,value,location,kills,health,title
63,1954,S074,0,frasi,Libertà! Libertà!
64,1954,S078,0,frasi,Lo jus primae noctis
65,1954,S080,0,frasi,La lente d'ingrandimento
66,1954,S081,0,frasi,I Marziani
67,1954,S071,1,frasi,La fabbrica nella montagna
68,1954,S077,1,frasi,Il dittatore
69,1954,S082,1,frasi,La domenica delle follie
70,1954,S083,2,frasi,Il coniglio velenoso
71,1954,S073,3,frasi,La bomba addormentata nel bosco
72,1954,S072,5,frasi,Le notti dell'UNPA
73,1955,S084,3,frasi,L'avventura di un fotografo
74,1956,S085,0,frasi,Un viaggio con le mucche
75,1957,S086,3,frasi,Luna e Gnac
76,1957,S088,14,frasi,La speculazione edilizia
77,1958,S089,0,frasi,Dialogo sul satellite
78,1958,S101,1,frasi,L'avventura di un miope
79,1958,S103,1,frasi,L'avventura di due sposi
80,1958,S091,2,frasi,Una bella giornata di marzo
81,1958,S100,2,frasi,Un letto di passaggio
82,1958,S092,3,frasi,La gallina di reparto
83,1958,S098,3,frasi,La villeggiatura in panchina
84,1958,S102,3,frasi,L'avventura di una moglie
85,1958,S096,4,frasi,La signora Paulatim
86,1958,S104,4,frasi,L'avventura di un poeta
87,1958,S093,5,frasi,La notte dei numeri
88,1958,S094,6,frasi,L'avventura di un lettore
89,1958,S099,8,frasi,Va' così che vai bene
90,1958,S097,11,frasi,L'avventura di un viaggiatore
91,1958,S095,12,frasi,La nuvola di smog
92,1959,S105,0,frasi,L'avventura di uno sciatore
93,1960,S105,0,frasi,L'avventura di uno sciatore
94,1961,S105,0,frasi,L'avventura di uno sciatore
95,1962,S105,0,frasi,L'avventura di uno sciatore
96,1963,S109,0,frasi,La pioggia e le foglie
97,1963,S110,0,frasi,La fermata sbagliata
98,1963,S111,0,frasi,"Fumo, vento e bolle di sapone"
99,1963,S112,0,frasi,"Un sabato di sole, sabbia e sonno"
100,1963,S113,0,frasi,La città tutta per lui
101,1963,S108,1,frasi,Marcovaldo al supermarket
102,1963,S116,1,frasi,Dov'è più azzurro il fiume
103,1963,S117,1,frasi,La città smarrita nella neve
104,1963,S115,2,frasi,I figli di Babbo Natale
105,1963,S114,6,frasi,Il giardino dei gatti ostinati
106,1964,S121,0,frasi,Tutto in un punto
107,1964,S119,1,frasi,Sul far del giorno
108,1964,S120,1,frasi,Un segno nello spazio
109,1964,S118,4,frasi,La distanza della Luna
110,1965,S124,0,frasi,Lo zio acquatico
111,1965,S128,0,frasi,La forma dello spazio
112,1965,S129,0,frasi,Quanto scommettiamo
113,1965,S130,2,frasi,I Dinosauri
114,1965,S131,2,frasi,Gli anni-luce
115,1965,S122,3,frasi,Senza colori
116,1965,S126,3,frasi,Giochi senza fine
117,1965,S132,3,frasi,La spirale
118,1966,S132,0,frasi,La spirale
119,1967,S132,0,frasi,La spirale
120,1968,S132,0,frasi,La spirale
121,1969,S132,0,frasi,La spirale
122,1970,S132,0,frasi,La spirale
123,1971,S132,0,frasi,La spirale
124,1972,S132,0,frasi,La spirale
125,1973,S132,0,frasi,La spirale
126,1974,S132,0,frasi,La spirale
127,1975,S162,0,frasi,Il fischio del merlo
128,1975,S163,0,frasi,Del prendersela coi giovani
129,1975,S160,1,frasi,La corsa delle giraffe
130,1975,S164,3,frasi,Lettura di un'onda
131,1976,S166,0,frasi,Un chilo e mezzo di grasso d'oca
132,1976,S168,1,frasi,Serpenti e teschi
133,1977,S170,2,frasi,L'aiola di sabbia
134,1977,S172,2,frasi,Il seno nudo
135,1978,S172,0,frasi,Il seno nudo
136,1979,S172,0,frasi,Il seno nudo
137,1980,S178,0,frasi,Il gorilla albino
138,1981,S182,0,frasi,L'invasione degli storni
139,1982,S186,0,frasi,Il mondo guarda il mondo
140,1982,S187,2,frasi,La pancia del geco
141,1982,S184,3,frasi,L'occhio e i pianeti
142,1983,S190,0,frasi,La spada del sole
143,1983,S196,0,frasi,Il museo dei formaggi
144,1983,S197,0,frasi,Il marmo e il sangue
145,1983,S199,0,frasi,Il modello dei modelli
146,1983,S193,1,frasi,Il prato infinito
147,1983,S194,1,frasi,Luna di pomeriggio
148,1983,S195,1,frasi,Dal terrazzo
149,1983,S191,3,frasi,La contemplazione delle stelle
150,1983,S198,3,frasi,L'ordine degli squamati
151,1983,S200,4,frasi,L'universo come specchio
152,1943,S002,0,misto,Dieci soldi in plastilina
153,1944,S002,0,misto,Dieci soldi in plastilina
154,1945,S004,1,misto,Angoscia in caserma
155,1946,S006,0,misto,Di padre in figlio
156,1946,S009,0,misto,Uomo nei gerbidi
157,1946,S011,0,misto,I fratelli Bagnasco
158,1946,S013,0,misto,Cinque dopodomani: guerra finita!
159,1946,S007,1,misto,Paura sul sentiero
160,1946,S008,1,misto,E il settimo si riposò
161,1946,S010,1,misto,Campo di mine
162,1946,S012,1,misto,Ragionamento del cugino
163,1947,S014,0,misto,Alba sui rami nudi
164,1947,S015,0,misto,Come non fui Noè (Buon a nulla)
165,1947,S016,0,misto,Ultimo viene il corvo
166,1947,S018,0,misto,L'occhio del padrone
167,1947,S019,0,misto,Come un volo d'anitre
168,1947,S020,0,misto,La fame a Bévera
169,1947,S021,0,misto,Furto in una pasticceria
170,1947,S022,0,misto,Un bastimento carico di granchi
171,1947,S017,1,misto,Visti alla mensa
172,1948,S024,0,misto,Il giardino incantato
173,1948,S025,0,misto,Impiccagione di un giudice
174,1948,S026,0,misto,Il bosco degli animali
175,1948,S028,0,misto,Com'era grande il mare
176,1948,S029,0,misto,Il gatto e il poliziotto
177,1948,S030,0,misto,Pranzo con un pastore
178,1948,S031,0,misto,Voglia di mare
179,1948,S032,0,misto,Isabella e Fioravanti
180,1948,S033,0,misto,Chi ha messo la mina nel mare?
181,1948,S034,0,misto,Dollari e vecchie mondane
182,1948,S023,1,misto,I figli poltroni
183,1949,S035,0,misto,Freddo a Napoli
184,1949,S036,0,misto,Lasciare Anna
185,1949,S037,0,misto,"Un pomeriggio, Adamo"
186,1949,S038,0,misto,La casa degli alveari
187,1949,S041,0,misto,Uno dei tre è ancora vivo
188,1949,S043,0,misto,Desiderio in novembre
189,1949,S039,1,misto,La stessa cosa del sangue
190,1949,S067,1,misto,L'entrata in guerra
191,1950,S044,0,misto,Lettera ad Amelia sui dischi volanti
192,1950,S046,0,misto,"Pesci grossi, pesci piccoli"
193,1950,S047,0,misto,Cimitero di biciclette
194,1950,S045,1,misto,Storia del soldato che portò il cannone a casa
195,1950,S048,1,misto,Mai nessuno degli uomini lo seppe
196,1951,S050,0,misto,L'avventura di una bagnante
197,1951,S049,1,misto,Il reggimento smarrito
198,1952,S052,0,misto,Un bel gioco dura poco
199,1952,S055,0,misto,Il piccione comunale
200,1952,S056,0,misto,La pietanziera
201,1952,S057,0,misto,Gli occhi del nemico
202,1952,S053,1,misto,Funghi in città
203,1952,S054,1,misto,La formica argentina
204,1952,S059,1,misto,La ragazza licenziata
205,1953,S060,0,misto,Le disgrazie di un paese
206,1953,S061,0,misto,Il bosco sull'autostrada
207,1953,S066,0,misto,L'aria buona
208,1953,S069,0,misto,Un paese disgraziato
209,1953,S063,1,misto,La storia di Kim-Ghi-U
210,1953,S064,1,misto,Paese infido
211,1953,S068,1,misto,L'avventura di un impiegato
212,1953,S070,1,misto,Il generale in biblioteca
213,1953,S065,2,misto,Gli avanguardisti a Mentone
214,1954,S071,0,misto,La fabbrica nella montagna
215,1954,S072,0,misto,Le notti dell'UNPA
216,1954,S073,0,misto,La bomba addormentata nel bosco
217,1954,S074,0,misto,Libertà! Libertà!
218,1954,S077,0,misto,Il dittatore
219,1954,S078,0,misto,Lo jus primae noctis
220,1954,S080,0,misto,La lente d'ingrandimento
221,1954,S081,0,misto,I Marziani
222,1954,S082,0,misto,La domenica delle follie
223,1954,S083,0,misto,Il coniglio velenoso
224,1955,S084,0,misto,L'avventura di un fotografo
225,1956,S085,0,misto,Un viaggio con le mucche
226,1957,S086,0,misto,Luna e Gnac
227,1957,S088,2,misto,La speculazione edilizia
228,1958,S092,0,misto,La gallina di reparto
229,1958,S093,0,misto,La notte dei numeri
230,1958,S094,0,misto,L'avventura di un lettore
231,1958,S096,0,misto,La signora Paulatim
232,1958,S097,0,misto,L'avventura di un viaggiatore
233,1958,S098,0,misto,La villeggiatura in panchina
234,1958,S099,0,misto,Va' così che vai bene
235,1958,S100,0,misto,Un letto di passaggio
236,1958,S102,0,misto,L'avventura di una moglie
237,1958,S104,0,misto,L'avventura di un poeta
238,1958,S089,1,misto,Dialogo sul satellite
239,1958,S091,1,misto,Una bella giornata di marzo
240,1958,S101,1,misto,L'avventura di un miope
241,1958,S103,2,misto,L'avventura di due sposi
242,1958,S095,3,misto,La nuvola di smog
243,1959,S105,1,misto,L'avventura di uno sciatore
244,1960,S105,0,misto,L'avventura di uno sciatore
245,1961,S105,0,misto,L'avventura di uno sciatore
246,1962,S105,0,misto,L'avventura di uno sciatore
247,1963,S108,0,misto,Marcovaldo al supermarket
248,1963,S109,0,misto,La pioggia e le foglie
249,1963,S111,0,misto,"Fumo, vento e bolle di sapone"
250,1963,S112,0,misto,"Un sabato di sole, sabbia e sonno"
251,1963,S116,0,misto,Dov'è più azzurro il fiume
252,1963,S117,0,misto,La città smarrita nella neve
253,1963,S110,1,misto,La fermata sbagliata
254,1963,S113,1,misto,La città tutta per lui
255,1963,S114,1,misto,Il giardino dei gatti ostinati
256,1963,S115,2,misto,I figli di Babbo Natale
257,1964,S118,0,misto,La distanza della Luna
258,1964,S119,0,misto,Sul far del giorno
259,1964,S120,0,misto,Un segno nello spazio
260,1964,S121,0,misto,Tutto in un punto
261,1965,S122,0,misto,Senza colori
262,1965,S124,0,misto,Lo zio acquatico
263,1965,S128,0,misto,La forma dello spazio
264,1965,S129,0,misto,Quanto scommettiamo
265,1965,S126,1,misto,Giochi senza fine
266,1965,S132,1,misto,La spirale
267,1965,S131,2,misto,Gli anni-luce
268,1965,S130,3,misto,I Dinosauri
269,1966,S130,0,misto,I Dinosauri
270,1967,S130,0,misto,I Dinosauri
271,1968,S130,0,misto,I Dinosauri
272,1969,S130,0,misto,I Dinosauri
273,1970,S130,0,misto,I Dinosauri
274,1971,S130,0,misto,I Dinosauri
275,1972,S130,0,misto,I Dinosauri
276,1973,S130,0,misto,I Dinosauri
277,1974,S130,0,misto,I Dinosauri
278,1975,S160,0,misto,La corsa delle giraffe
279,1975,S162,0,misto,Il fischio del merlo
280,1975,S163,0,misto,Del prendersela coi giovani
281,1975,S164,0,misto,Lettura di un'onda
282,1976,S168,0,misto,Serpenti e teschi
283,1976,S166,1,misto,Un chilo e mezzo di grasso d'oca
284,1977,S170,0,misto,L'aiola di sabbia
285,1977,S172,0,misto,Il seno nudo
286,1978,S172,0,misto,Il seno nudo
287,1979,S172,0,misto,Il seno nudo
288,1980,S178,0,misto,Il gorilla albino
289,1981,S182,1,misto,L'invasione degli storni
290,1982,S184,0,misto,L'occhio e i pianeti
291,1982,S186,0,misto,Il mondo guarda il mondo
292,1982,S187,0,misto,La pancia del geco
293,1983,S193,0,misto,Il prato infinito
294,1983,S194,0,misto,Luna di pomeriggio
295,1983,S197,0,misto,Il marmo e il sangue
296,1983,S199,0,misto,Il modello dei modelli
297,1983,S200,0,misto,L'universo come specchio
298,1983,S190,1,misto,La spada del sole
299,1983,S191,1,misto,La contemplazione delle stelle
300,1983,S196,1,misto,Il museo dei formaggi
301,1983,S198,1,misto,L'ordine degli squamati
302,1983,S195,2,misto,Dal terrazzo
303,1943,S002,1,parole,Dieci soldi in plastilina
304,1944,S002,0,parole,Dieci soldi in plastilina
305,1945,S004,4,parole,Angoscia in caserma
306,1946,S006,0,parole,Di padre in figlio
307,1946,S007,0,parole,Paura sul sentiero
308,1946,S010,0,parole,Campo di mine
309,1946,S011,0,parole,I fratelli Bagnasco
310,1946,S008,1,parole,E il settimo si riposò
311,1946,S009,1,parole,Uomo nei gerbidi
312,1946,S012,1,parole,Ragionamento del cugino
313,1946,S013,1,parole,Cinque dopodomani: guerra finita!
314,1947,S014,0,parole,Alba sui rami nudi
315,1947,S015,0,parole,Come non fui Noè (Buon a nulla)
316,1947,S017,0,parole,Visti alla mensa
317,1947,S018,0,parole,L'occhio del padrone
318,1947,S020,0,parole,La fame a Bévera
319,1947,S019,1,parole,Come un volo d'anitre
320,1947,S021,1,parole,Furto in una pasticceria
321,1947,S022,1,parole,Un bastimento carico di granchi
322,1947,S016,2,parole,Ultimo viene il corvo
323,1948,S024,0,parole,Il giardino incantato
324,1948,S026,0,parole,Il bosco degli animali
325,1948,S029,0,parole,Il gatto e il poliziotto
326,1948,S030,0,parole,Pranzo con un pastore
327,1948,S033,0,parole,Chi ha messo la mina nel mare?
328,1948,S034,0,parole,Dollari e vecchie mondane
329,1948,S023,1,parole,I figli poltroni
330,1948,S025,1,parole,Impiccagione di un giudice
331,1948,S028,1,parole,Com'era grande il mare
332,1948,S031,1,parole,Voglia di mare
333,1948,S032,2,parole,Isabella e Fioravanti
334,1949,S037,0,parole,"Un pomeriggio, Adamo"
335,1949,S038,0,parole,La casa degli alveari
336,1949,S039,0,parole,La stessa cosa del sangue
337,1949,S043,0,parole,Desiderio in novembre
338,1949,S035,1,parole,Freddo a Napoli
339,1949,S036,1,parole,Lasciare Anna
340,1949,S041,1,parole,Uno dei tre è ancora vivo
341,1949,S067,3,parole,L'entrata in guerra
342,1950,S044,0,parole,Lettera ad Amelia sui dischi volanti
343,1950,S045,0,parole,Storia del soldato che portò il cannone a casa
344,1950,S048,0,parole,Mai nessuno degli uomini lo seppe
345,1950,S046,1,parole,"Pesci grossi, pesci piccoli"
346,1950,S047,1,parole,Cimitero di biciclette
347,1951,S049,0,parole,Il reggimento smarrito
348,1951,S050,0,parole,L'avventura di una bagnante
349,1952,S054,0,parole,La formica argentina
350,1952,S055,0,parole,Il piccione comunale
351,1952,S056,0,parole,La pietanziera
352,1952,S057,0,parole,Gli occhi del nemico
353,1952,S059,0,parole,La ragazza licenziata
354,1952,S052,1,parole,Un bel gioco dura poco
355,1952,S053,1,parole,Funghi in città
356,1953,S066,0,parole,L'aria buona
357,1953,S068,0,parole,L'avventura di un impiegato
358,1953,S061,1,parole,Il bosco sull'autostrada
359,1953,S064,1,parole,Paese infido
360,1953,S069,1,parole,Un paese disgraziato
361,1953,S070,1,parole,Il generale in biblioteca
362,1953,S060,2,parole,Le disgrazie di un paese
363,1953,S063,2,parole,La storia di Kim-Ghi-U
364,1953,S065,3,parole,Gli avanguardisti a Mentone
365,1954,S071,0,parole,La fabbrica nella montagna
366,1954,S078,0,parole,Lo jus primae noctis
367,1954,S082,0,parole,La domenica delle follie
368,1954,S072,1,parole,Le notti dell'UNPA
369,1954,S073,1,parole,La bomba addormentata nel bosco
370,1954,S074,1,parole,Libertà! Libertà!
371,1954,S080,1,parole,La lente d'ingrandimento
372,1954,S081,1,parole,I Marziani
373,1954,S083,1,parole,Il coniglio velenoso
374,1954,S077,3,parole,Il dittatore
375,1955,S084,1,parole,L'avventura di un fotografo
376,1956,S085,0,parole,Un viaggio con le mucche
377,1957,S086,0,parole,Luna e Gnac
378,1957,S088,12,parole,La speculazione edilizia
379,1958,S089,0,parole,Dialogo sul satellite
380,1958,S091,0,parole,Una bella giornata di marzo
381,1958,S096,0,parole,La signora Paulatim
382,1958,S099,0,parole,Va' così che vai bene
383,1958,S102,0,parole,L'avventura di una moglie
384,1958,S104,0,parole,L'avventura di un poeta
385,1958,S098,1,parole,La villeggiatura in panchina
386,1958,S101,1,parole,L'avventura di un miope
387,1958,S103,1,parole,L'avventura di due sposi
388,1958,S092,2,parole,La gallina di reparto
389,1958,S093,2,parole,La notte dei numeri
390,1958,S094,2,parole,L'avventura di un lettore
391,1958,S097,2,parole,L'avventura di un viaggiatore
392,1958,S100,2,parole,Un letto di passaggio
393,1958,S095,10,parole,La nuvola di smog
394,1959,S105,1,parole,L'avventura di uno sciatore
395,1960,S105,0,parole,L'avventura di uno sciatore
396,1961,S105,0,parole,L'avventura di uno sciatore
397,1962,S105,0,parole,L'avventura di uno sciatore
398,1963,S115,0,parole,I figli di Babbo Natale
399,1963,S117,0,parole,La città smarrita nella neve
400,1963,S108,1,parole,Marcovaldo al supermarket
401,1963,S112,1,parole,"Un sabato di sole, sabbia e sonno"
402,1963,S116,1,parole,Dov'è più azzurro il fiume
403,1963,S109,2,parole,La pioggia e le foglie
404,1963,S110,2,parole,La fermata sbagliata
405,1963,S113,2,parole,La città tutta per lui
406,1963,S111,3,parole,"Fumo, vento e bolle di sapone"
407,1963,S114,5,parole,Il giardino dei gatti ostinati
408,1964,S119,1,parole,Sul far del giorno
409,1964,S120,1,parole,Un segno nello spazio
410,1964,S121,1,parole,Tutto in un punto
411,1964,S118,3,parole,La distanza della Luna
412,1965,S126,0,parole,Giochi senza fine
413,1965,S131,0,parole,Gli anni-luce
414,1965,S122,1,parole,Senza colori
415,1965,S124,1,parole,Lo zio acquatico
416,1965,S128,2,parole,La forma dello spazio
417,1965,S129,3,parole,Quanto scommettiamo
418,1965,S130,4,parole,I Dinosauri
419,1965,S132,5,parole,La spirale
420,1966,S132,0,parole,La spirale
421,1967,S132,0,parole,La spirale
422,1968,S132,0,parole,La spirale
423,1969,S132,0,parole,La spirale
424,1970,S132,0,parole,La spirale
425,1971,S132,0,parole,La spirale
426,1972,S132,0,parole,La spirale
427,1973,S132,0,parole,La spirale
428,1974,S132,0,parole,La spirale
429,1975,S160,0,parole,La corsa delle giraffe
430,1975,S162,0,parole,Il fischio del merlo
431,1975,S164,1,parole,Lettura di un'onda
432,1975,S163,2,parole,Del prendersela coi giovani
433,1976,S166,0,parole,Un chilo e mezzo di grasso d'oca
434,1976,S168,3,parole,Serpenti e teschi
435,1977,S170,0,parole,L'aiola di sabbia
436,1977,S172,0,parole,Il seno nudo
437,1978,S172,0,parole,Il seno nudo
438,1979,S172,0,parole,Il seno nudo
439,1980,S178,0,parole,Il gorilla albino
440,1981,S182,1,parole,L'invasione degli storni
441,1982,S184,1,parole,L'occhio e i pianeti
442,1982,S186,1,parole,Il mondo guarda il mondo
443,1982,S187,1,parole,La pancia del geco
444,1983,S191,0,parole,La contemplazione delle stelle
445,1983,S193,0,parole,Il prato infinito
446,1983,S194,0,parole,Luna di pomeriggio
447,1983,S195,0,parole,Dal terrazzo
448,1983,S197,0,parole,Il marmo e il sangue
449,1983,S198,0,parole,L'ordine degli squamati
450,1983,S199,0,parole,Il modello dei modelli
451,1983,S190,2,parole,La spada del sole
452,1983,S200,2,parole,L'universo come specchio
453,1983,S196,3,parole,Il museo dei formaggi
454,1943,S002,3,sintagmi,Dieci soldi in plastilina
455,1944,S002,0,sintagmi,Dieci soldi in plastilina
456,1945,S004,8,sintagmi,Angoscia in caserma
457,1946,S006,0,sintagmi,Di padre in figlio
458,1946,S012,0,sintagmi,Ragionamento del cugino
459,1946,S007,1,sintagmi,Paura sul sentiero
460,1946,S009,1,sintagmi,Uomo nei gerbidi
461,1946,S010,1,sintagmi,Campo di mine
462,1946,S011,1,sintagmi,I fratelli Bagnasco
463,1946,S013,1,sintagmi,Cinque dopodomani: guerra finita!
464,1946,S008,2,sintagmi,E il settimo si riposò
465,1947,S015,0,sintagmi,Come non fui Noè (Buon a nulla)
466,1947,S017,0,sintagmi,Visti alla mensa
467,1947,S018,0,sintagmi,L'occhio del padrone
468,1947,S019,0,sintagmi,Come un volo d'anitre
469,1947,S014,1,sintagmi,Alba sui rami nudi
470,1947,S016,1,sintagmi,Ultimo viene il corvo
471,1947,S020,1,sintagmi,La fame a Bévera
472,1947,S021,1,sintagmi,Furto in una pasticceria
473,1947,S022,1,sintagmi,Un bastimento carico di granchi
474,1948,S023,0,sintagmi,I figli poltroni
475,1948,S026,0,sintagmi,Il bosco degli animali
476,1948,S028,0,sintagmi,Com'era grande il mare
477,1948,S029,0,sintagmi,Il gatto e il poliziotto
478,1948,S030,0,sintagmi,Pranzo con un pastore
479,1948,S032,0,sintagmi,Isabella e Fioravanti
480,1948,S034,0,sintagmi,Dollari e vecchie mondane
481,1948,S024,1,sintagmi,Il giardino incantato
482,1948,S031,1,sintagmi,Voglia di mare
483,1948,S033,2,sintagmi,Chi ha messo la mina nel mare?
484,1948,S025,3,sintagmi,Impiccagione di un giudice
485,1949,S037,0,sintagmi,"Un pomeriggio, Adamo"
486,1949,S041,0,sintagmi,Uno dei tre è ancora vivo
487,1949,S035,1,sintagmi,Freddo a Napoli
488,1949,S039,1,sintagmi,La stessa cosa del sangue
489,1949,S043,1,sintagmi,Desiderio in novembre
490,1949,S036,2,sintagmi,Lasciare Anna
491,1949,S038,3,sintagmi,La casa degli alveari
492,1949,S067,6,sintagmi,L'entrata in guerra
493,1950,S044,0,sintagmi,Lettera ad Amelia sui dischi volanti
494,1950,S045,0,sintagmi,Storia del soldato che portò il cannone a casa
495,1950,S047,0,sintagmi,Cimitero di biciclette
496,1950,S048,1,sintagmi,Mai nessuno degli uomini lo seppe
497,1950,S046,2,sintagmi,"Pesci grossi, pesci piccoli"
498,1951,S049,1,sintagmi,Il reggimento smarrito
499,1951,S050,1,sintagmi,L'avventura di una bagnante
500,1952,S052,0,sintagmi,Un bel gioco dura poco
501,1952,S056,0,sintagmi,La pietanziera
502,1952,S057,0,sintagmi,Gli occhi del nemico
503,1952,S059,0,sintagmi,La ragazza licenziata
504,1952,S053,1,sintagmi,Funghi in città
505,1952,S055,1,sintagmi,Il piccione comunale
506,1952,S054,9,sintagmi,La formica argentina
507,1953,S060,0,sintagmi,Le disgrazie di un paese
508,1953,S061,0,sintagmi,Il bosco sull'autostrada
509,1953,S063,0,sintagmi,La storia di Kim-Ghi-U
510,1953,S069,0,sintagmi,Un paese disgraziato
511,1953,S064,1,sintagmi,Paese infido
512,1953,S066,1,sintagmi,L'aria buona
513,1953,S070,1,sintagmi,Il generale in biblioteca
514,1953,S068,2,sintagmi,L'avventura di un impiegato
515,1953,S065,4,sintagmi,Gli avanguardisti a Mentone
516,1954,S074,0,sintagmi,Libertà! Libertà!
517,1954,S077,0,sintagmi,Il dittatore
518,1954,S080,0,sintagmi,La lente d'ingrandimento
519,1954,S082,0,sintagmi,La domenica delle follie
520,1954,S071,1,sintagmi,La fabbrica nella montagna
521,1954,S073,1,sintagmi,La bomba addormentata nel bosco
522,1954,S078,1,sintagmi,Lo jus primae noctis
523,1954,S081,1,sintagmi,I Marziani
524,1954,S083,1,sintagmi,Il coniglio velenoso
525,1954,S072,4,sintagmi,Le notti dell'UNPA
526,1955,S084,6,sintagmi,L'avventura di un fotografo
527,1956,S085,4,sintagmi,Un viaggio con le mucche
528,1957,S086,2,sintagmi,Luna e Gnac
529,1957,S088,20,sintagmi,La speculazione edilizia
530,1958,S102,0,sintagmi,L'avventura di una moglie
531,1958,S092,1,sintagmi,La gallina di reparto
532,1958,S100,1,sintagmi,Un letto di passaggio
533,1958,S103,1,sintagmi,L'avventura di due sposi
534,1958,S089,2,sintagmi,Dialogo sul satellite
535,1958,S091,2,sintagmi,Una bella giornata di marzo
536,1958,S093,2,sintagmi,La notte dei numeri
537,1958,S098,2,sintagmi,La villeggiatura in panchina
538,1958,S104,2,sintagmi,L'avventura di un poeta
539,1958,S101,3,sintagmi,L'avventura di un miope
540,1958,S097,4,sintagmi,L'avventura di un viaggiatore
541,1958,S099,4,sintagmi,Va' così che vai bene
542,1958,S094,5,sintagmi,L'avventura di un lettore
543,1958,S096,7,sintagmi,La signora Paulatim
544,1958,S095,12,sintagmi,La nuvola di smog
545,1959,S105,4,sintagmi,L'avventura di uno sciatore
546,1960,S105,0,sintagmi,L'avventura di uno sciatore
547,1961,S105,0,sintagmi,L'avventura di uno sciatore
548,1962,S105,0,sintagmi,L'avventura di uno sciatore
549,1963,S111,0,sintagmi,"Fumo, vento e bolle di sapone"
550,1963,S113,0,sintagmi,La città tutta per lui
551,1963,S116,0,sintagmi,Dov'è più azzurro il fiume
552,1963,S108,1,sintagmi,Marcovaldo al supermarket
553,1963,S109,1,sintagmi,La pioggia e le foglie
554,1963,S110,1,sintagmi,La fermata sbagliata
555,1963,S112,1,sintagmi,"Un sabato di sole, sabbia e sonno"
556,1963,S115,1,sintagmi,I figli di Babbo Natale
557,1963,S117,2,sintagmi,La città smarrita nella neve
558,1963,S114,3,sintagmi,Il giardino dei gatti ostinati
559,1964,S120,1,sintagmi,Un segno nello spazio
560,1964,S119,2,sintagmi,Sul far del giorno
561,1964,S118,3,sintagmi,La distanza della Luna
562,1964,S121,3,sintagmi,Tutto in un punto
563,1965,S122,0,sintagmi,Senza colori
564,1965,S126,0,sintagmi,Giochi senza fine
565,1965,S129,0,sintagmi,Quanto scommettiamo
